field_name,predicted_sensitivity,confidence,rule_used,rule_description,needs_manual_review,alternative_matches,reasoning,service,law,section,existing_sensitivity
BSN,5,0.41,BSN_identifiers,Burgerservicenummer - highest sensitivity identifier,True,"[{'rule': 'identifiers_administrative', 'sensitivity': 1, 'confidence': 0.162}]",Matched rule 'BSN_identifiers': Exact match with 'BSN',CBS,wet_op_het_centraal_bureau_voor_de_statistiek,parameters,
LEVENSVERWACHTING_GEGEVENS,5,0.277,exact_financial_amounts,Exact financial amounts without aggregation,True,"[{'rule': 'detailed_income', 'sensitivity': 4, 'confidence': 0.179}, {'rule': 'detailed_assets', 'sensitivity': 4, 'confidence': 0.179}]",Partial match with rule 'exact_financial_amounts' (score: 0.31),CBS,wet_op_het_centraal_bureau_voor_de_statistiek,sources,
levensverwachting_65,5,0.277,exact_financial_amounts,Exact financial amounts without aggregation,True,"[{'rule': 'detailed_income', 'sensitivity': 4, 'confidence': 0.179}, {'rule': 'detailed_assets', 'sensitivity': 4, 'confidence': 0.179}]",Partial match with rule 'exact_financial_amounts' (score: 0.31),CBS,wet_op_het_centraal_bureau_voor_de_statistiek,output,
BSN,5,0.41,BSN_identifiers,Burgerservicenummer - highest sensitivity identifier,True,"[{'rule': 'identifiers_administrative', 'sensitivity': 1, 'confidence': 0.162}]",Matched rule 'BSN_identifiers': Exact match with 'BSN',KIESRAAD,kieswet,parameters,
VERKIEZINGSDATUM,1,0.587,dates_administrative,Administrative and reference dates,True,"[{'rule': 'birth_dates', 'sensitivity': 4, 'confidence': 0.165}]","Matched rule 'dates_administrative': Ends with 'DATUM', Contains 'DATUM'",KIESRAAD,kieswet,sources,
LEEFTIJD,2,0.9,age_demographics,Age and age-related demographics,False,"[{'rule': 'exact_financial_amounts', 'sensitivity': 5, 'confidence': 0.277}, {'rule': 'detailed_income', 'sensitivity': 4, 'confidence': 0.179}]","Matched rule 'age_demographics': Exact match with 'LEEFTIJD', Ends with 'LEEFTIJD', Contains 'LEEFTIJD'",KIESRAAD,kieswet,input,
NATIONALITEIT,3,0.224,location_categories,Location and geographic categories,True,"[{'rule': 'boolean_flags', 'sensitivity': 1, 'confidence': 0.158}]",Matched rule 'location_categories': Contains 'NATIONALITEIT',KIESRAAD,kieswet,input,
IS_GEDETINEERD,1,0.396,boolean_flags,Boolean flags and indicators,True,[],Matched rule 'boolean_flags': Starts with 'IS_',KIESRAAD,kieswet,input,
GERECHTELIJKE_UITSLUITING,1,0.158,boolean_flags,Boolean flags and indicators,True,[],Partial match with rule 'boolean_flags' (score: 0.17),KIESRAAD,kieswet,input,
heeft_stemrecht,1,0.396,boolean_flags,Boolean flags and indicators,True,[],Matched rule 'boolean_flags': Starts with 'HEEFT_',KIESRAAD,kieswet,output,
